"","tanggal","nama.barang","kuantum"
"1",2020-05-29,"GULA",1e+05
"2",2020-07-07,"GULA",97950
"3",2020-07-16,"GULA",2050
"4",2020-11-12,"GULA",14000
"5",2020-12-24,"GULA",8000
"6",2020-06-03,"GULA",1e+05
"7",2020-02-26,"BERAS",164
"8",2020-02-26,"BERAS",8500
"9",2020-06-02,"BERAS",150000
"10",2020-06-23,"BERAS",300
"11",2020-06-26,"BERAS",50000
"12",2020-06-29,"BERAS",75000
"13",2020-06-30,"BERAS",50000
"14",2020-07-21,"BERAS",75
"15",2020-07-29,"BERAS",50000
"16",2020-08-06,"BERAS",25000
"17",2020-08-14,"BERAS",74
"18",2020-08-24,"BERAS",25000
"19",2020-08-27,"BERAS",50000
"20",2020-09-14,"BERAS",50000
"21",2020-09-17,"BERAS",100
"22",2020-10-23,"BERAS",25
"23",2020-10-24,"BERAS",50
"24",2020-10-26,"BERAS",50000
"25",2020-09-15,"DAGING",3000
"26",2020-01-21,"DAGING",4000
"27",2020-03-17,"DAGING",4000
"28",2020-12-29,"DAGING",3000
"29",2020-10-07,"MIGOR",4000
"30",2020-11-12,"MIGOR",1500
"31",2020-05-11,"TEPUNG",1000
"32",2020-07-10,"TEPUNG",1000
"33",2020-09-17,"TEPUNG",2000
"34",2020-01-28,"BERAS",75000
"35",2020-02-10,"BERAS",1e+05
"36",2020-03-10,"BERAS",24000
"37",2020-03-12,"BERAS",43100
"38",2020-03-17,"BERAS",50000
"39",2020-03-19,"BERAS",17000
"40",2020-03-23,"BERAS",80
"41",2020-04-08,"BERAS",50000
"42",2020-04-27,"BERAS",160
"43",2020-05-03,"BERAS",75000
"44",2020-05-04,"BERAS",50000
"45",2020-05-05,"BERAS",75000
"46",2020-05-18,"BERAS",150000
"47",2020-10-24,"BERAS",50000
"48",2020-11-19,"BERAS",50000
"49",2020-11-21,"BERAS",50000
"50",2020-11-23,"BERAS",50000
"51",2020-12-03,"BERAS",25000
"52",2020-12-04,"BERAS",50000
"53",2021-02-26,"BERAS",500
"54",2021-03-05,"BERAS",50000
"55",2021-02-23,"DAGING",1000
"56",2021-01-06,"MIGOR",4000
"57",2021-03-22,"TEPUNG",1500
"58",2021-01-21,"BERAS",50000
"59",2021-03-24,"BERAS",50000
"60",2020-01-10,"BERAS",256130
"61",2020-01-10,"TEPUNG",3000
"62",2020-01-10,"MIGOR",16148
"63",2020-01-10,"DAGING",1500
