Category,Merk,Product,Price,OverallRating,Reviewer
Night Cream,Hada Labo,Perfect 3D Gel,Rp. 91.000,3.8,978.0
Face Mist,PIXY,Aqua Beauty Protecting Mist,Rp. 27.000,4.2,3851.0
Night Cream,Wardah,Lightening Night Cream,Rp. 0,3.5,806.0
Face Mist,Avene,Thermal Spring Water,Rp. 199.000,4.4,1239.0
Night Cream,Wardah,White Secret Night Cream,Rp. 98.000,3.6,572.0
Face Mist,Evian,Mineral Water Spray,Rp. 160.000,3.8,979.0
Night Cream,Safi,White Expert Replenishing Night Cream,Rp. 103.000,3.6,423.0
Face Mist,Nature Republic,Aloe Vera 92% Soothing Gel Mist,Rp. 100.000,4.0,424.0
Night Cream,Garnier,Light Complete White Speed Multi-Action Whitening Serum Cream Night Restore,Rp. 54.100,3.2,409.0
Face Mist,Wardah,C-defense Face Mist,Rp. 36.000,3.7,354.0
Night Cream,L'Oreal Paris,White Perfect Clinical Overnight Treatment,Rp. 150.000,3.8,363.0
Face Mist,Nu Skin,NaPCA Moisture Mist,Rp. 113.000,4.1,342.0
Night Cream,The Body Shop,Vitamin E Nourishing Night Cream,Rp. 199.000,3.7,287.0
Face Mist,Haple,Pure Rose Water,Rp. 39.000,4.2,305.0
Night Cream,The Body Shop,Vitamin E Gel Moisture Cream,Rp. 199.000,4.1,270.0
Face Mist,The Body Shop,Vitamin C Energising Face Mist,Rp. 179.000,3.0,233.0
Night Cream,PIXY,White Aqua Gel Cream Night Cream,Rp. 50.000,3.5,258.0
Face Mist,Mineral Botanica,Fresh Face Mist,Rp. 30.000,3.6,232.0
Night Cream,Klairs,Midnight Blue Calming Cream,Rp. 450.000,4.1,242.0
Face Mist,Raiku Beauty,Hydrating Mist,Rp. 108.000,4.7,210.0
Night Cream,The Body Shop,Tea Tree Oil Blemish Fade Night Lotion,Rp. 179.000,3.3,227.0
Face Mist,Natur-E,Daily Nourishing Face Mist,Rp. 31.000,3.7,200.0
Night Cream,Hada Labo,Shirojyun Ultimate Whitening Cream,Rp. 70.000,3.5,226.0
Face Mist,Bioderma,Hydrabio Brume Soothing Refreshing Water,Rp. 99.000,4.2,184.0
Night Cream,Wardah,Renew You Anti Aging Night Cream,Rp. 100.000,3.7,220.0
Face Mist,Mario Badescu,Facial Spray With Aloe Herbs And Rosewater,Rp. 175.620,4.2,178.0
Night Cream,Envygreen,Night Extra Brightening Cream,Rp. 48.000,4.3,206.0
Face Mist,Mustika Ratu,Oxigenated Spray,Rp. 40.000,3.1,157.0
Night Cream,Olay,Total Effects 7 in 1 Night Cream,Rp. 145.900,4.0,198.0
Face Mist,Sukin,Hydrating Mist Toner,Rp. 130.000,3.9,148.0
Night Cream,Wardah,Intensive Night Cream,Rp. 33.000,3.1,189.0
Face Mist,Hada Labo,Gokujyun Ultimate Moisturizing Face Mist,Rp. 0,4.2,132.0
Night Cream,Azarine Cosmetics,C White Night Moisturizer,Rp. 65.000,4.7,172.0
Face Mist,Uriage,Thermal Water,Rp. 249.000,4.3,96.0
Night Cream,Wardah,Acnederm Night Treatment Moisturizer,Rp. 28.000,3.8,169.0
Face Mist,Laneige,Water Bank Mineral Skin Mist,Rp. 360.000,3.8,90.0
Night Cream,SK-II,Stempower,Rp. 220.000,3.9,164.0
Face Mist,The Body Shop,Vitamin E Face Mist,Rp. 159.000,3.5,82.0
Night Cream,Charis,M+ Madecassoside Cica Cream,Rp. 242.000,3.7,163.0
Face Mist,Mario Badescu,Facial Spray with Aloe Cucumber and Green Tea,Rp. 0,4.1,82.0
Night Cream,Sulwhasoo,Concentrated Ginseng Renewing Cream EX,Rp. 1.500.000,4.4,152.0
Face Mist,Pyunkang Yul,Mist Toner,Rp. 200.000,4.2,82.0
Night Cream,L'Oreal Paris,White Perfect Night Cream,Rp. 119.000,3.4,146.0
Face Mist,Bio-Essence,Miracle Bio Water,Rp. 120.000,4.2,80.0
Night Cream,Pond's,Age Miracle Youthful Glow Night Cream Moisturizer,Rp. 28.000,3.9,134.0
Face Mist,La Roche-Posay,Serozinc,Rp. 300.000,4.1,74.0
Night Cream,Safi,Age Defy Renewal Night Cream,Rp. 74.900,3.7,133.0
Face Mist,Mineral Botanica,Acne Care Face Mist,Rp. 33.000,3.3,73.0
Night Cream,Pond's,Flawless White Brightening Night Cream,Rp. 70.000,3.4,130.0
Face Mist,Mineral Botanica,Hydra Face Mist,Rp. 35.000,4.5,71.0
Face Mist,Mineral Botanica,Hydra Face Mist,Rp. 35.000,4.6,71.0
Night Cream,SADA by Cathy Sharon,Facial Moiturizing Lotion - PM,Rp. 250.000,4.4,127.0
Face Mist,The Body Shop,Face Mist,Rp. 30.000,3.8,63.0
Face Mist,The Body Shop,Face Mist,Rp. 30.000,4.0,63.0
Face Mist,The Body Shop,Face Mist,Rp. 30.000,3.3,53.0
Face Mist,The Body Shop,Face Mist,Rp. 30.000,3.9,50.0
Night Cream,Garnier,Sakura White Night Cream,Rp. 75.000,3.8,127.0
Face Mist,Probio C,Vitamin C Spray,Rp. 85.000,3.8,58.0
Night Cream,The Body Shop,Tea Tree Night Lotion,Rp. 0,3.7,123.0
Face Mist,Everpure,Organic Rose Water,,4.6,54.0
Night Cream,Good Virtues Co.,Brightening Night Cream,Rp. 64.000,4.5,119.0
Face Mist,Lacoco,Aloe Vera Soothing Mist,Rp. 230.000,4.6,54.0
Night Cream,Everwhite,Be Bright Night Cream,Rp. 125.000,3.5,117.0
Face Mist,Clinelle,Pure Swiss Thermal Spring Water,Rp. 159.000,3.9,46.0
Night Cream,Bioderma,Sensibio Light,Rp. 279.000,3.7,112.0
Face Mist,Viva Cosmetics,Air Mawar Viva,Rp. 0,4.4,41.0
Night Cream,Hada Labo,Gokujyun Ultimate Moisturizing Cream,Rp. 50.000,3.7,105.0
Face Mist,Haple,Licorice Water,Rp. 49.000,4.0,39.0
Night Cream,Kiehl's,Clearly Corrective Brightening and Smoothing Moisture Treatment,Rp. 795.000,3.8,102.0
Face Mist,Innisfree,Innisfree Aloe vera,Rp. 80.000,4.3,37.0
Night Cream,Pond's,White Beauty Spot Less Rosy White Night Cream,Rp. 24.000,3.5,101.0
Face Mist,Himalaya,Dermasafe Booster Mist,Rp. 106.000,4.2,37.0
Night Cream,Viva Cosmetics,Viva White Soothing Aloe Gel,Rp. 1.980,4.4,99.0
Face Mist,The Bath Box,Fresh Water,,4.0,37.0
Night Cream,Skin1004,Madagascar Centella Asiatica Ampoule,Rp. 289.000,4.1,93.0
Face Mist,Evian,Baby Face & Body Spray,Rp. 148.500,3.7,36.0
Night Cream,Pyunkang Yul,Moisture Cream,Rp. 400.000,4.1,90.0
Night Cream,CeraVe,ceraVe Moisturizing Cream,Rp. 14.95,4.3,87.0
Night Cream,For Skin's Sake (FSS),Retinol Overnight Cream,Rp. 240.000,4.4,85.0
Face Mist,Kangen Water,Beauty Water,Rp. 50.000,4.2,866.0
Night Cream,ElsheSkin,Brightening Cream,Rp. 85.000,4.1,81.0
Day Cream,NIVEA,Soft,Rp. 7.500,4.0,1217.0
Day Cream,Pond's,Instabright Pink Tone Up Cream,Rp. 23.000,3.3,900.0
Day Cream,Fair & Lovely,Krim Pencerah Multi Vitamin,Rp. 12.000,3.1,860.0
Day Cream,Garnier,Sakura White Serum Day Cream,Rp. 61.300,3.4,838.0
Day Cream,Garnier,Light Complete Multi-Action Whitening Serum Cream Extra UV Protection,Rp. 45.700,3.2,687.0
Day Cream,Wardah,Lightening Day Cream,Rp. 0,3.2,660.0
Day Cream,Wardah,Perfect Bright Moisturizer,Rp. 0,3.8,582.0
Day Cream,Citra,Pearly White UV Essence Cream,Rp. 32.250,3.1,560.0
Day Cream,Wardah,White Secret Day Cream,Rp. 97.000,3.5,542.0
Day Cream,Viva Cosmetics,Skin Food Cream,Rp. 8.850,3.6,458.0
Day Cream,Garnier,Light Complete Bright Up Tone Up Cream,Rp. 25.000,3.3,411.0
Day Cream,Citra,Green Tea Anti Acne Facial Moisturizer,Rp. 27.000,3.4,403.0
Day Cream,Emina,Ms. Pimple Moisturizing Gel,Rp. 20.000,3.8,399.0
Day Cream,Garnier,Sakura White Pinkish Radiance & Smooth Pores Whitening Serum Cream UVA/UVB Filters,Rp. 22.000,3.3,392.0
Day Cream,Skin1004,Madagascar Centella-Asiatica Cream,Rp. 0,3.8,391.0
Day Cream,Garnier,Light Complete White Speed Yuzu Whitening Serum Cream SPF 19,Rp. 55.000,3.4,375.0
Day Cream,The Body Shop,Vitamin E Moisture Cream,Rp. 179.000,3.5,367.0
Day Cream,Safi,White Expert Illuminating Day Cream SPF15 PA++,Rp. 99.500,3.5,361.0
Day Cream,Laneige,Water Bank Gel Cream,Rp. 450.000,4.1,358.0
