Product,UserName,SkinCond_Age,Recommend,PostDate,Review,Rating
Perfect 3D Gel,MALA_,35 - 39,MALA_ recommends this product!,12 Jul 2020,"Di aku beneran kerja. Melembabkan bgt. Tp gak lebay.Gak bikin jerawat, malah jerawat batu ga mau numbuh lagi sampe sekarang uda 1 bln pakai dan baru habis setengah krn pakai dikit aja uda ngelock lembab diwajah. Aq pake pagi dan malam.",5
Perfect 3D Gel,Vitamaylinda,"Normal, 19 - 24",Vitamaylinda doesn't recommend this product!,31 May 2020,ga cocok bgttt bikin muka bruntusan dan lgsg muncul jerawat after pake ini sblm tidur. 😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥,2
Perfect 3D Gel,aishdwie,"Combination, 19 - 24",aishdwie doesn't recommend this product!,30 Jul 2020,[SOLD]baru pertama kali nyoba dan beli karna liat yt di famaledaily trs aku pake pertama kali dimalam hari besok pagi nya bruntusan☹️ trs aku pake lagi dipagi dan malam eh lusa nya makin memerah😭 jadi aku mutusin untuk berhenti karna spt nya gacocok di aku dan aku mau ... Read more,2
Perfect 3D Gel,ilmisaptiah,"Dry, 30 - 34",ilmisaptiah doesn't recommend this product!,12 Jul 2020,"enak sih di mukaku, yg tadinya kering jd lembab gt. pagi2 bangun kenyal gt mukanya, tp 3 hr pemakaian, muncul jerawat gede2. aku off 2 hr, ilang jerawatnya, ku pakai lagi muncul lagi :(( . awalnya mikir jerawat muncul mungkin krn hormon, googling ada jg yg kyk gini. sye ... Read more",3
Perfect 3D Gel,alvinadin,"Oily, 19 - 24",alvinadin recommends this product!,15 Jul 2020,"SOLD OUT [PRELOVED] Halo aku preloved ini ya, baru aku pakai kurang dari seminggu, isi masih 90%an, Aku preloved karena ga cocok di mukaku, muncul bruntusan whitehead gitu kecil2 tapi sebenarnya melembabkan banget. Aku jual cuma 50rb aja dan masih ada box nya juga! dari ... Read more",3
Perfect 3D Gel,ellenDeLouise,"Oily, 30 - 34",ellenDeLouise recommends this product!,19 Jul 2020,awalnya sih pas udah beli pembersih Hada Labo sekalian liat-liat produk Hada Labo yg lain..dan tertarik ma anti aging ma katanya bisa cetahin wajah jadi deh beli dan bener2 enak sih dimuka adem bangun2 muka cerahan tapi ga enaknya itu pas aplikasiin kemuka ya padahal be ... Read more,5
Perfect 3D Gel,Arfanisa,"Dry, 25 - 29",Arfanisa recommends this product!,20 Jul 2020,"1. gel nya ga lengket, cepet meresap, tapi setelah kering, kaya membentuk lapisan yang kaku gitu, kayak pakai masker peel off bening. agak kurang nyaman sih buat aku 2. ga bikin BO 3. saat di apply ga ada wangi yg nyengat, tapi justru tangan aku utk apply gel ini ada ba ... Read more",4
Perfect 3D Gel,Mangkawani,"Oily, 25 - 29",Mangkawani doesn't recommend this product!,02 Jul 2020,tekstur dari produk ini tuh kayak jelly yang diminum tapi menyerap dengan baik. sayangnya dia nggak cocok dikulit aku yang sensitif. agak sedikit bikin kulit panas dan membuat kulit ku jadi kemerahan.,2
Perfect 3D Gel,neniandita,"Combination, 35 - 39",neniandita recommends this product!,26 Jul 2020,bagusss... teksturnya unik gel bening gt yg klo diambil produknya bakalan lgsung kembali ke bentuk semula. selama pake ini keliatan hasilnya dmuka jd moist trus lebih cerah. minusnya agak lama nyerepnya apalagi kalo pake agak banyak trus walopun uda nyerep masih berasa ... Read more,4
Perfect 3D Gel,dyahfebri,"Combination, 19 - 24",dyahfebri recommends this product!,30 Aug 2020,"Ini harusnya jadi moisturizer kesayangan oily skin typ, karena dia come with gel texture. Tapi gatau kenapa aku ga begitu suka karena lumayan lengket after usenya. Overall dia bagus buat sleeping mask, contains niacinamide juga, kalo dipake rutin dan sabar bisa ilangin ... Read more",4
